,0
0,1
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,11
9,7
10,21
11,12
12,7
13,10
14,12
15,10
16,13
17,17
18,12
19,7
20,19
21,9
22,5
23,2
0,1
1,1
2,0
3,0
4,0
5,0
6,1
7,2
8,7
9,7
10,20
11,16
12,20
13,11
14,12
15,17
16,10
17,10
18,15
19,13
20,14
21,16
22,13
23,5
0,2
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,9
9,13
10,9
11,12
12,8
13,13
14,12
15,11
16,13
17,12
18,13
19,10
20,6
21,8
22,13
23,2
0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,10
8,12
9,13
10,10
11,10
12,13
13,9
14,7
15,14
16,16
17,10
18,15
19,10
20,11
21,8
22,9
23,6
0,1
1,0
2,0
3,0
4,0
5,0
6,1
7,2
8,10
9,10
10,12
11,12
12,12
13,10
14,12
15,14
16,13
17,6
18,14
19,12
20,7
21,13
22,6
23,2
0,1
1,1
2,0
3,0
4,0
5,0
6,1
7,3
8,8
9,13
10,9
11,20
12,15
13,14
14,10
15,10
16,11
17,14
18,17
19,15
20,12
21,13
22,7
23,3
0,1
1,0
2,0
3,0
4,0
5,0
6,1
7,4
8,8
9,11
10,13
11,11
12,10
13,13
14,13
15,14
16,17
17,12
18,10
19,11
20,10
21,8
22,6
23,2
0,2
1,0
2,0
3,0
4,0
5,0
6,1
7,6
8,11
9,8
10,18
11,15
12,10
13,12
14,13
15,14
16,16
17,8
18,17
19,16
20,16
21,9
22,11
23,3
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,3
8,11
9,14
10,18
11,23
12,12
13,13
14,18
15,13
16,9
17,9
18,11
19,8
20,8
21,16
22,10
23,4
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,5
8,5
9,9
10,10
11,14
12,11
13,13
14,12
15,9
16,10
17,6
18,10
19,13
20,10
21,16
22,6
23,2
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,6
8,8
9,14
10,13
11,7
12,13
13,9
14,12
15,9
16,6
17,11
18,12
19,10
20,9
21,9
22,8
23,4
0,3
1,1
2,0
3,0
4,0
5,0
6,1
7,3
8,10
9,8
10,15
11,11
12,11
13,14
14,13
15,13
16,13
17,10
18,8
19,16
20,15
21,10
22,12
23,5
0,0
1,0
2,0
3,0
4,0
5,2
6,1
7,8
8,4
9,14
10,9
11,11
12,18
13,11
14,14
15,12
16,20
17,16
18,9
19,11
20,15
21,15
22,3
23,5
0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,7
8,6
9,14
10,14
11,11
12,14
13,16
14,9
15,11
16,12
17,12
18,13
19,20
20,10
21,14
22,8
23,6
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,4
8,5
9,18
10,10
11,9
12,14
13,11
14,10
15,14
16,15
17,8
18,16
19,10
20,14
21,8
22,8
23,6
0,1
1,0
2,0
3,0
4,0
5,0
6,2
7,4
8,10
9,11
10,12
11,11
12,14
13,6
14,14
15,10
16,8
17,14
18,12
19,11
20,14
21,6
22,8
23,3
0,2
1,0
2,0
3,0
4,0
5,0
6,0
7,7
8,11
9,9
10,8
11,8
12,14
13,17
14,9
15,13
16,17
17,10
18,5
19,11
20,11
21,8
22,7
23,9
0,2
1,1
2,0
3,0
4,0
5,0
6,2
7,5
8,7
9,13
10,18
11,11
12,10
13,13
14,11
15,5
16,6
17,17
18,7
19,19
20,11
21,20
22,9
23,4
0,1
1,0
2,0
3,0
4,1
5,0
6,0
7,4
8,8
9,16
10,10
11,14
12,7
13,11
14,13
15,8
16,9
17,13
18,10
19,11
20,17
21,10
22,4
23,2
0,3
1,0
2,0
3,0
4,0
5,1
6,2
7,7
8,6
9,13
10,11
11,11
12,10
13,11
14,13
15,12
16,9
17,11
18,14
19,8
20,8
21,11
22,8
23,6
0,4
1,3
2,0
3,0
4,0
5,0
6,4
7,4
8,12
9,10
10,11
11,9
12,14
13,8
14,10
15,15
16,9
17,18
18,17
19,18
20,10
21,10
22,5
23,8
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,5
8,12
9,13
10,5
11,12
12,12
13,15
14,9
15,17
16,14
17,10
18,20
19,11
20,17
21,3
22,9
23,3
0,1
1,0
2,0
3,0
4,0
5,0
6,5
7,6
8,8
9,18
10,14
11,18
12,9
13,8
14,11
15,11
16,9
17,12
18,11
19,9
20,15
21,11
22,12
23,4
0,3
1,0
2,0
3,0
4,0
5,0
6,2
7,8
8,7
9,11
10,21
11,12
12,12
13,18
14,14
15,9
16,12
17,14
18,7
19,20
20,10
21,10
22,8
23,2
0,1
1,0
2,0
3,0
4,0
5,0
6,2
7,8
8,6
9,9
10,6
11,12
12,16
13,11
14,13
15,13
16,18
17,17
18,16
19,13
20,12
21,9
22,13
23,5
0,1
1,0
2,0
3,0
4,0
5,0
6,4
7,10
8,7
9,12
10,14
11,13
12,15
13,13
14,8
15,8
16,9
17,11
18,12
19,13
20,9
21,10
22,7
23,7
0,0
1,0
2,0
3,0
4,0
5,0
6,3
7,4
8,16
9,9
10,16
11,10
12,8
13,11
14,11
15,16
16,14
17,17
18,15
19,6
20,12
21,10
22,9
23,4
0,1
1,0
2,0
3,0
4,0
5,0
6,1
7,2
8,3
9,14
10,15
11,11
12,8
13,10
14,12
15,10
16,10
17,17
18,9
19,15
20,11
21,8
22,7
23,3
0,2
1,1
2,0
3,0
4,0
5,0
6,1
7,6
8,12
9,15
10,13
11,9
12,12
13,13
14,10
15,12
16,10
17,10
18,10
19,13
20,8
21,7
22,7
23,6
0,1
1,0
2,0
3,0
4,0
5,0
6,3
7,1
8,15
9,7
10,8
11,16
12,18
13,10
14,9
15,23
16,13
17,15
18,18
19,16
20,5
21,5
22,7
23,3
0,1
1,0
2,0
3,0
4,0
5,0
6,1
7,3
8,8
9,12
10,11
11,11
12,16
13,8
14,11
15,8
16,14
17,12
18,15
19,19
20,12
21,16
22,5
23,5
0,0
1,2
2,0
3,0
4,0
5,0
6,0
7,2
8,11
9,13
10,15
11,13
12,16
13,18
14,9
15,13
16,20
17,15
18,9
19,16
20,11
21,14
22,9
23,4
0,2
1,0
2,0
3,0
4,0
5,0
6,1
7,4
8,7
9,6
10,11
11,15
12,8
13,15
14,11
15,11
16,10
17,9
18,10
19,12
20,6
21,11
22,2
23,6
0,4
1,0
2,0
3,0
4,0
5,0
6,1
7,6
8,10
9,17
10,7
11,15
12,7
13,14
14,13
15,16
16,12
17,13
18,8
19,14
20,10
21,13
22,12
23,2
0,2
1,0
2,0
3,0
4,0
5,1
6,4
7,8
8,10
9,10
10,12
11,12
12,10
13,11
14,13
15,13
16,12
17,13
18,15
19,11
20,12
21,3
22,4
23,7
0,1
1,0
2,0
3,0
4,0
5,1
6,2
7,6
8,10
9,13
10,19
11,8
12,17
13,15
14,8
15,13
16,14
17,13
18,13
19,6
20,6
21,10
22,6
23,2
0,2
1,0
2,0
3,0
4,0
5,1
6,3
7,9
8,13
9,19
10,12
11,15
12,8
13,7
14,10
15,12
16,11
17,16
18,13
19,15
20,8
21,11
22,6
23,5
0,0
1,1
2,0
3,0
4,0
5,0
6,0
7,5
8,10
9,14
10,13
11,9
12,17
13,13
14,13
15,12
16,18
17,19
18,14
19,10
20,10
21,9
22,13
23,4
0,1
1,0
2,0
3,0
4,0
5,1
6,5
7,7
8,8
9,9
10,7
11,14
12,19
13,11
14,6
15,10
16,6
17,8
18,10
19,15
20,13
21,10
22,8
23,2
0,1
1,1
2,0
3,0
4,0
5,0
6,1
7,7
8,9
9,13
10,11
11,9
12,7
13,16
14,14
15,15
16,16
17,8
18,10
19,6
20,12
21,8
22,4
23,1
0,1
1,1
2,0
3,0
4,0
5,1
6,2
7,5
8,5
9,12
10,11
11,7
12,17
13,13
14,9
15,9
16,10
17,12
18,16
19,16
20,11
21,9
22,7
23,4
0,2
1,1
2,0
3,0
4,0
5,0
6,0
7,9
8,8
9,4
10,7
11,15
12,13
13,9
14,11
15,13
16,8
17,16
18,19
19,13
20,5
21,11
22,7
23,2
0,0
1,0
2,0
3,0
4,0
5,0
6,2
7,6
8,20
9,7
10,11
11,7
12,10
13,10
14,7
15,12
16,16
17,11
18,12
19,14
20,11
21,14
22,7
23,2
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,3
8,9
9,16
10,9
11,9
12,11
13,13
14,18
15,14
16,9
17,14
18,18
19,14
20,9
21,15
22,2
23,6
0,0
1,1
2,0
3,0
4,0
5,0
6,1
7,5
8,13
9,18
10,22
11,14
12,13
13,10
14,13
15,10
16,7
17,18
18,12
19,9
20,17
21,10
22,7
23,2
0,0
1,0
2,0
3,0
4,0
5,1
6,2
7,5
8,14
9,14
10,20
11,9
12,14
13,13
14,5
15,9
16,10
17,8
18,20
19,15
20,14
21,11
22,7
23,5
0,2
1,0
2,0
3,0
4,0
5,0
6,1
7,9
8,8
9,8
10,17
11,7
12,8
13,12
14,16
15,10
16,17
17,19
18,16
19,12
20,6
21,7
22,10
23,6
0,4
1,0
2,0
3,0
4,0
5,0
6,4
7,1
8,7
9,11
10,14
11,15
12,10
13,13
14,14
15,10
16,11
17,12
18,11
19,10
20,13
21,10
22,8
23,8
0,3
1,0
2,0
3,0
4,0
5,1
6,1
7,5
8,9
9,4
10,10
11,10
12,18
13,12
14,12
15,9
16,15
17,9
18,8
19,9
20,14
21,7
22,8
23,4
0,2
1,1
2,0
3,0
4,0
5,2
6,4
7,11
8,8
9,12
10,20
11,14
12,16
13,15
14,13
15,8
16,17
17,19
18,12
19,13
20,10
21,7
22,7
23,2
0,0
1,0
2,0
3,0
4,0
5,2
6,6
7,13
8,8
9,17
10,10
11,14
12,9
13,14
14,12
15,13
16,8
17,14
18,7
19,7
20,12
21,15
22,6
23,5
0,1
1,2
2,0
3,0
4,0
5,1
6,1
7,6
8,10
9,8
10,14
11,10
12,10
13,14
14,7
15,9
16,4
17,11
18,17
19,15
20,13
21,13
22,8
23,3
0,2
1,0
2,0
3,0
4,0
5,0
6,1
7,11
8,4
9,11
10,10
11,15
12,12
13,3
14,13
15,15
16,13
17,18
18,11
19,14
20,10
21,6
22,10
23,6
0,1
1,1
2,0
3,0
4,0
5,1
6,5
7,8
8,7
9,12
10,17
11,8
12,7
13,10
14,16
15,12
16,15
