,Domestic,Commercial,Public
377,529.0,550.0,0.0
378,1222.0,1650.0,500.0
379,1218.0,1350.0,500.0
380,1218.0,950.0,500.0
381,1151.0,750.0,500.0
382,807.0,200.0,500.0
383,719.0,0.0,500.0
384,364.0,0.0,500.0
385,395.0,0.0,500.0
386,433.0,0.0,500.0
387,395.0,0.0,0.0
388,423.0,0.0,0.0
389,375.0,750.0,0.0
390,454.0,0.0,0.0
391,105.0,0.0,0.0
392,70.0,550.0,0.0
393,110.0,1300.0,0.0
394,80.0,2200.0,0.0
395,125.0,200.0,0.0
396,115.0,350.0,0.0
397,125.0,2000.0,0.0
398,140.0,750.0,0.0
399,95.0,1250.0,0.0
400,145.0,900.0,0.0
401,591.0,2400.0,0.0
402,1276.0,1700.0,500.0
403,1244.0,200.0,500.0
404,1255.0,0.0,500.0
405,1042.0,200.0,500.0
406,836.0,0.0,500.0
407,708.0,0.0,500.0
408,409.0,0.0,500.0
409,394.0,0.0,500.0
410,383.0,0.0,500.0
411,384.0,0.0,0.0
412,401.0,0.0,0.0
413,372.0,0.0,0.0
414,504.0,0.0,0.0
415,90.0,750.0,0.0
416,120.0,1450.0,0.0
417,85.0,1650.0,0.0
418,100.0,1150.0,0.0
419,135.0,1050.0,0.0
420,185.0,950.0,0.0
421,90.0,1050.0,0.0
422,95.0,1650.0,0.0
423,90.0,1300.0,0.0
424,145.0,900.0,0.0
425,567.0,2150.0,0.0
426,1306.0,750.0,500.0
427,1272.0,200.0,500.0
428,1218.0,200.0,500.0
429,1126.0,550.0,500.0
430,871.0,0.0,500.0
431,688.0,0.0,500.0
432,446.0,0.0,500.0
433,377.0,0.0,500.0
434,369.0,0.0,500.0
435,389.0,350.0,0.0
436,366.0,0.0,0.0
437,377.0,0.0,0.0
438,511.0,350.0,0.0
439,85.0,1100.0,0.0
440,100.0,550.0,0.0
441,130.0,2000.0,0.0
442,135.0,2150.0,0.0
443,130.0,1100.0,0.0
444,125.0,1300.0,0.0
445,145.0,1150.0,0.0
446,115.0,950.0,0.0
447,140.0,600.0,0.0
448,155.0,1850.0,0.0
449,501.0,1850.0,0.0
450,1262.0,900.0,500.0
451,1302.0,750.0,500.0
452,1207.0,0.0,500.0
453,1073.0,0.0,500.0
454,877.0,0.0,500.0
455,696.0,0.0,500.0
456,383.0,0.0,500.0
457,300.0,0.0,500.0
458,366.0,0.0,500.0
459,390.0,0.0,0.0
460,404.0,0.0,0.0
461,379.0,0.0,0.0
462,481.0,0.0,0.0
463,95.0,750.0,0.0
464,85.0,750.0,0.0
465,135.0,750.0,0.0
466,165.0,1300.0,0.0
467,130.0,950.0,0.0
468,125.0,900.0,0.0
469,150.0,1650.0,0.0
470,130.0,1150.0,0.0
471,95.0,1500.0,0.0
472,90.0,1150.0,0.0
473,413.0,750.0,0.0
474,1204.0,1350.0,500.0
475,1336.0,200.0,500.0
476,1324.0,950.0,500.0
477,1102.0,0.0,500.0
478,857.0,0.0,500.0
479,663.0,350.0,500.0
480,394.0,0.0,500.0
481,437.0,0.0,500.0
482,386.0,0.0,500.0
483,377.0,0.0,0.0
484,374.0,0.0,0.0
485,382.0,200.0,0.0
486,473.0,0.0,0.0
487,100.0,0.0,0.0
488,110.0,1300.0,0.0
489,135.0,600.0,0.0
490,150.0,1300.0,0.0
491,135.0,550.0,0.0
492,155.0,1150.0,0.0
493,95.0,1450.0,0.0
494,125.0,1650.0,0.0
495,135.0,1500.0,0.0
496,155.0,1300.0,0.0
497,490.0,750.0,0.0
498,1320.0,550.0,500.0
499,1461.0,0.0,500.0
500,1219.0,0.0,500.0
501,1082.0,750.0,500.0
502,872.0,0.0,500.0
503,711.0,200.0,500.0
504,346.0,0.0,500.0
505,368.0,0.0,500.0
506,398.0,0.0,500.0
507,410.0,0.0,0.0
508,394.0,0.0,0.0
509,376.0,0.0,0.0
510,544.0,0.0,0.0
511,85.0,750.0,0.0
512,100.0,0.0,0.0
513,125.0,2000.0,0.0
514,155.0,1100.0,0.0
515,140.0,1150.0,0.0
516,120.0,900.0,0.0
517,125.0,0.0,0.0
518,150.0,2050.0,0.0
519,155.0,1300.0,0.0
520,175.0,400.0,0.0
521,433.0,1300.0,0.0
522,1184.0,1500.0,500.0
523,1227.0,1500.0,500.0
524,1256.0,400.0,500.0
525,1158.0,0.0,500.0
526,896.0,0.0,500.0
527,659.0,0.0,500.0
528,403.0,0.0,500.0
529,392.0,0.0,500.0
530,351.0,0.0,500.0
531,434.0,0.0,0.0
532,363.0,0.0,0.0
533,398.0,0.0,0.0
534,483.0,0.0,0.0
535,55.0,750.0,0.0
536,95.0,400.0,0.0
537,115.0,1250.0,0.0
538,100.0,1100.0,0.0
539,145.0,1650.0,0.0
540,65.0,550.0,0.0
541,155.0,1700.0,0.0
542,155.0,1850.0,0.0
543,155.0,1100.0,0.0
544,145.0,1500.0,0.0
545,405.0,1100.0,0.0
546,1280.0,750.0,500.0
547,1335.0,600.0,500.0
548,1294.0,950.0,500.0
549,1159.0,750.0,500.0
550,802.0,0.0,500.0
551,687.0,0.0,500.0
552,362.0,0.0,500.0
553,400.0,0.0,500.0
554,380.0,0.0,500.0
555,391.0,0.0,0.0
556,427.0,0.0,0.0
557,401.0,0.0,0.0
558,480.0,0.0,0.0
559,90.0,200.0,0.0
560,120.0,1300.0,0.0
561,85.0,800.0,0.0
562,100.0,600.0,0.0
563,150.0,1300.0,0.0
564,130.0,350.0,0.0
565,105.0,1300.0,0.0
566,130.0,2000.0,0.0
567,165.0,2200.0,0.0
568,125.0,950.0,0.0
569,453.0,350.0,0.0
570,1273.0,550.0,500.0
571,1197.0,950.0,500.0
572,1258.0,200.0,500.0
573,1065.0,750.0,500.0
